boat,dtf,long,lat,time
357,3862994,-15.42639,28.12893,1478289606
357,3862994,-15.42639,28.12891,1478296800
357,3862994,-15.42638,28.12889,1478304005
357,3862994,-15.42637,28.12887,1478311200
357,3862994,-15.42635,28.1289,1478318406
357,3862994,-15.4265,28.129,1478325600
357,3862994,-15.42638,28.12888,1478332805
357,3862994,-15.4264,28.12888,1478340000
357,3862994,-15.42639,28.12893,1478347206
357,3862994,-15.42656,28.12868,1478354400
357,3862994,-15.42636,28.12892,1478361605
357,3862994,-15.42648,28.12902,1478368800
357,3862994,-15.42639,28.129,1478376000
357,3862994,-15.42639,28.12893,1478379605
357,3862994,-15.42641,28.1289,1478383200
357,3862994,-15.4265,28.12894,1478386800
357,3862994,-15.42642,28.12904,1478390400
357,3862994,-15.4264,28.1289,1478394005
357,3862994,-15.4264,28.1289,1478397600
357,3862994,-15.42633,28.12891,1478401200
357,3862994,-15.42614,28.12873,1478404800
357,3862994,-15.4264,28.1289,1478408405
357,3862994,-15.42643,28.12891,1478412000
357,3862994,-15.42644,28.12887,1478412900
357,3862994,-15.4265,28.12875,1478413801
357,3862994,-15.42642,28.12887,1478414700
357,3862994,-15.4264,28.12887,1478415600
357,3862994,-15.42641,28.12888,1478416500
357,3862994,-15.42642,28.1289,1478417400
357,3862994,-15.42646,28.1289,1478418300
357,3862994,-15.42643,28.12888,1478419200
357,3862994,-15.42638,28.12891,1478420100
357,3862994,-15.42661,28.129,1478421000
357,3862994,-15.42663,28.12917,1478421900
357,3862994,-15.42643,28.12889,1478422800
357,3862994,-15.42643,28.12892,1478423700
357,3862994,-15.42639,28.12895,1478424600
357,3862994,-15.42644,28.12892,1478425500
357,3862994,-15.42638,28.12891,1478426400
357,3862994,-15.42641,28.12888,1478427305
357,3862994,-15.4265,28.12895,1478428200
357,3862994,-15.42755,28.12885,1478429100
357,3862994,-15.42644,28.12897,1478430000
357,3862994,-15.42644,28.12895,1478430900
357,3862994,-15.42642,28.12892,1478431800
357,3862994,-15.4265,28.12903,1478432700
357,3862994,-15.41972,28.12491,1478433600
357,3862994,-15.4081,28.11885,1478434500
357,3862994,-15.40563,28.11293,1478435400
357,3862994,-15.4058,28.10971,1478436300
357,3862994,-15.40412,28.09962,1478437631
357,3862994,-15.39736,28.08577,1478438100
357,3862994,-15.37579,28.06555,1478439000
357,3862994,-15.35464,28.04695,1478439900
357,3862994,-15.33883,28.03299,1478440800
357,3862994,-15.32601,28.02132,1478441700
357,3862994,-15.31544,28.01542,1478442600
357,3862994,-15.30867,27.99496,1478443500
357,3862994,-15.31632,27.96796,1478444400
357,3862994,-15.32425,27.93997,1478445300
357,3862994,-15.33209,27.91145,1478446200
357,3862994,-15.34123,27.88327,1478447100
357,3862994,-15.34841,27.85599,1478448006
357,3862994,-15.35717,27.82855,1478448900
357,3862994,-15.37795,27.80675,1478449800
357,3862994,-15.3991,27.78473,1478450700
357,3862994,-15.4196,27.76291,1478451600
357,3862994,-15.44158,27.74127,1478452500
357,3862994,-15.46427,27.71965,1478453400
357,3862994,-15.48712,27.69781,1478454300
357,3862994,-15.51045,27.67549,1478455200
357,3862994,-15.53417,27.65339,1478456100
357,3862994,-15.55684,27.63095,1478457000
